--------- beginning of main
05-13 10:51:46.992 I/ReactNativeJS( 5250): Running "main" with {"rootTag":1,"initialProps":{},"fabric":true}
05-13 10:51:47.269 I/ReactNativeJS( 5250): '[analytics]', 'sync_started', { trigger: 'cold_start' }
05-13 10:51:47.271 I/ReactNativeJS( 5250): '[analytics]', 'health_platform_read_skipped', { trigger: 'foreground', reason: 'no_user' }
05-13 10:51:47.304 I/ReactNativeJS( 5250): '[analytics]', 'background_sync_registered', { intervalMin: 15 }
05-13 10:51:47.482 I/ReactNativeJS( 5250): '[analytics]', 'push_permission_denied', ''
05-13 10:51:49.486 I/ReactNativeJS( 5250): [ble-trace] applyDeviceConfig skipped — dirty=false force=false sinceFlushMs=2920173 (debounce 3600000ms)
05-13 10:51:49.576 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x01 payload[0..3]=00 00 00 00 listeners=1
05-13 10:51:49.578 I/ReactNativeJS( 5250): [ble-trace] syncBacklog enter deviceBleId=CA:BF:55:1F:01:3C lastSync=1778637367 (filter-only; query is TS=0)
05-13 10:51:49.689 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=37 da 03 6a listeners=1
05-13 10:51:49.691 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=d0 49 03 6a listeners=1
05-13 10:51:49.691 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=b6 45 03 6a listeners=1
05-13 10:51:49.692 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=5b 41 03 6a listeners=1
05-13 10:51:49.692 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=a2 3d 03 6a listeners=1
05-13 10:51:49.693 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=7c 7d 02 6a listeners=1
05-13 10:51:49.693 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=07 26 02 6a listeners=1
05-13 10:51:49.694 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=a1 09 02 6a listeners=1
05-13 10:51:49.695 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=88 f7 01 6a listeners=1
05-13 10:51:49.696 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=50 f2 01 6a listeners=1
05-13 10:51:49.739 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=b4 f1 01 6a listeners=1
05-13 10:51:49.739 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=c6 ed 01 6a listeners=1
05-13 10:51:49.740 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=27 e9 01 6a listeners=1
05-13 10:51:49.744 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=27 e8 01 6a listeners=1
05-13 10:51:49.745 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=74 b0 01 6a listeners=1
05-13 10:51:49.746 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ec a8 01 6a listeners=1
05-13 10:51:49.751 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=21 61 01 6a listeners=1
05-13 10:51:49.752 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ed 24 01 6a listeners=1
05-13 10:51:49.755 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=7e 81 00 6a listeners=1
05-13 10:51:49.755 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ac 7b 00 6a listeners=1
05-13 10:51:49.786 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=55 7b 00 6a listeners=1
05-13 10:51:49.787 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=66 57 00 6a listeners=1
05-13 10:51:49.787 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=d9 fe fe 69 listeners=1
05-13 10:51:49.788 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=7a 91 fe 69 listeners=1
05-13 10:51:49.788 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=1d 7e fe 69 listeners=1
05-13 10:51:49.789 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=5c 0f fe 69 listeners=1
05-13 10:51:49.803 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=a7 c1 fd 69 listeners=1
05-13 10:51:49.836 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=0a c1 fd 69 listeners=1
05-13 10:51:49.837 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=97 70 fd 69 listeners=1
05-13 10:51:49.839 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ee 65 fc 69 listeners=1
05-13 10:51:49.840 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=f3 62 fc 69 listeners=1
05-13 10:51:49.842 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=32 e6 fb 69 listeners=1
05-13 10:51:49.843 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=d6 e4 fb 69 listeners=1
05-13 10:51:49.843 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=36 de fb 69 listeners=1
05-13 10:51:49.844 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=57 52 fb 69 listeners=1
05-13 10:51:49.845 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=2a 50 fb 69 listeners=1
05-13 10:51:49.884 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=7f 4f fb 69 listeners=1
05-13 10:51:49.885 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=17 4c fb 69 listeners=1
05-13 10:51:49.886 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=95 4b fb 69 listeners=1
05-13 10:51:49.888 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=cd 84 fa 69 listeners=1
05-13 10:51:49.889 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=cd bf f9 69 listeners=1
